iter	Passed	Remaining
0	111	111619
1	114	56888
2	115	38460
3	117	29200
4	118	23625
5	120	20016
6	122	17430
7	124	15450
8	126	13957
9	128	12711
10	130	11699
11	131	10861
12	133	10165
13	135	9563
14	137	9033
15	139	8558
16	140	8139
17	142	7767
18	144	7441
19	145	7133
20	147	6856
21	148	6613
22	150	6411
23	152	6208
24	154	6013
25	155	5834
26	157	5670
27	158	5511
28	160	5368
29	162	5245
30	164	5135
31	166	5029
32	168	4924
33	169	4826
34	171	4728
35	173	4634
36	174	4545
37	176	4464
38	177	4382
39	179	4311
40	181	4249
41	183	4176
42	184	4110
43	186	4049
44	188	3990
45	189	3931
46	191	3877
47	192	3824
48	194	3781
49	196	3733
50	198	3689
51	200	3646
52	201	3602
53	203	3563
54	204	3522
55	206	3481
56	208	3449
57	210	3414
58	211	3380
59	213	3343
60	214	3304
61	216	3271
62	217	3237
63	219	3203
64	220	3171
65	222	3145
66	223	3118
67	225	3091
68	227	3063
69	228	3035
70	229	3008
71	231	2983
72	233	2959
73	234	2937
74	236	2913
75	237	2893
76	239	2871
77	240	2847
78	242	2825
79	244	2806
80	245	2786
81	246	2765
82	247	2737
83	249	2718
84	250	2698
85	252	2681
86	254	2665
87	255	2647
88	256	2629
89	258	2612
90	259	2596
91	261	2579
92	262	2564
93	264	2549
94	265	2533
95	267	2521
96	269	2507
97	270	2492
98	272	2476
99	273	2462
100	275	2449
101	276	2436
102	278	2422
103	279	2408
104	281	2395
105	282	2382
106	284	2372
107	285	2361
108	287	2349
109	288	2337
110	290	2324
111	291	2313
112	293	2301
113	294	2289
114	296	2278
115	297	2266
116	299	2257
117	301	2250
118	302	2241
119	304	2232
120	306	2224
121	307	2212
122	308	2201
123	310	2193
124	311	2183
125	313	2175
126	315	2165
127	316	2155
128	318	2148
129	319	2139
130	321	2131
131	322	2122
132	324	2113
133	325	2104
134	327	2097
135	329	2091
136	330	2082
137	332	2074
138	333	2066
139	334	2057
140	336	2050
141	337	2039
142	338	2030
143	340	2023
144	341	2015
145	343	2007
146	345	2003
147	346	1996
148	348	1989
149	349	1981
150	351	1974
151	352	1967
152	354	1960
153	355	1952
154	357	1946
155	358	1940
156	360	1936
157	362	1930
158	363	1924
159	365	1917
160	366	1909
161	368	1904
162	369	1898
163	371	1893
164	373	1889
165	375	1885
166	376	1879
167	378	1875
168	380	1872
169	382	1868
170	384	1864
171	386	1859
172	388	1854
173	389	1851
174	391	1847
175	393	1842
176	395	1837
177	396	1832
178	398	1826
179	399	1821
180	401	1815
181	402	1810
182	404	1805
183	405	1800
184	407	1794
185	409	1790
186	410	1784
187	411	1779
188	413	1773
189	414	1768
190	416	1762
191	417	1757
192	419	1752
193	421	1749
194	422	1744
195	424	1739
196	425	1734
197	426	1729
198	428	1724
199	429	1719
200	431	1714
201	432	1709
202	434	1704
203	435	1700
204	437	1695
205	438	1691
206	440	1687
207	441	1682
208	443	1678
209	444	1673
210	446	1668
211	448	1665
212	449	1661
213	451	1658
214	452	1653
215	454	1649
216	455	1644
217	457	1639
218	458	1635
219	460	1631
220	461	1627
221	463	1622
