iter	Passed	Remaining
0	137	137531
1	138	69253
2	139	46426
3	141	35142
4	142	28311
5	143	23714
6	144	20436
7	144	17970
8	145	16058
9	146	14521
10	147	13271
11	149	12274
12	149	11388
13	150	10627
14	151	9959
15	152	9371
16	153	8855
17	153	8393
18	154	7983
19	155	7616
20	156	7298
21	157	7000
22	158	6720
23	158	6464
24	159	6229
25	160	6011
26	161	5808
27	161	5619
28	162	5444
29	163	5283
30	164	5132
31	164	4989
32	165	4854
33	166	4727
34	167	4606
35	167	4492
36	168	4385
37	169	4283
38	169	4186
39	170	4101
40	171	4017
41	172	3936
42	173	3857
43	174	3791
44	175	3719
45	176	3650
46	176	3582
47	177	3519
48	178	3460
49	179	3401
50	179	3344
51	180	3289
52	181	3237
53	181	3187
54	182	3139
55	183	3096
56	184	3053
57	185	3012
58	186	2975
59	187	2934
60	188	2894
61	188	2856
62	189	2820
63	190	2784
64	191	2748
65	191	2714
66	192	2684
67	193	2648
68	193	2617
69	194	2587
70	195	2557
71	196	2528
72	196	2500
73	197	2472
74	198	2447
75	199	2422
76	200	2399
77	201	2378
78	202	2357
79	202	2334
80	203	2311
81	204	2288
82	205	2266
83	205	2244
84	206	2221
85	207	2204
86	207	2181
87	208	2162
88	209	2143
89	210	2124
90	210	2106
91	211	2089
92	212	2072
93	213	2056
94	214	2039
95	214	2023
96	216	2011
97	216	1996
98	217	1980
99	218	1965
100	219	1950
101	219	1932
102	220	1918
103	221	1905
104	221	1892
105	222	1878
106	223	1865
107	224	1852
108	225	1839
109	225	1826
110	226	1813
111	227	1801
112	228	1789
113	228	1777
114	229	1767
115	230	1756
116	231	1745
117	231	1734
118	232	1721
119	233	1710
120	234	1700
121	234	1689
122	235	1677
123	236	1667
124	237	1659
125	238	1651
126	238	1642
127	239	1631
128	240	1623
129	241	1613
130	241	1604
131	242	1595
132	243	1586
133	244	1577
134	245	1570
135	246	1565
136	247	1557
137	247	1548
138	248	1539
139	249	1531
140	250	1524
141	250	1516
142	251	1508
143	252	1500
144	253	1492
145	253	1485
146	254	1478
147	255	1471
148	256	1464
149	257	1457
150	257	1450
151	258	1443
152	259	1436
153	260	1431
154	261	1424
155	262	1417
156	262	1411
157	263	1404
158	264	1398
159	265	1391
160	265	1384
161	266	1379
162	267	1374
163	269	1371
164	269	1365
165	270	1359
166	271	1353
167	272	1347
168	272	1341
169	273	1336
170	274	1331
171	275	1326
172	276	1320
173	277	1315
174	278	1310
175	278	1305
176	279	1300
177	280	1294
178	281	1289
179	282	1284
180	282	1277
181	283	1272
182	283	1266
183	284	1261
184	285	1256
185	285	1251
186	286	1246
187	287	1241
188	288	1237
189	289	1232
190	290	1228
191	290	1224
192	291	1219
193	292	1214
194	293	1209
195	293	1205
196	294	1200
197	295	1195
198	296	1191
199	296	1187
200	297	1183
201	298	1178
202	299	1174
203	299	1170
204	300	1165
205	301	1161
206	302	1156
207	302	1152
208	303	1148
209	304	1145
210	305	1141
211	306	1138
212	307	1134
213	307	1130
214	308	1126
215	309	1121
216	309	1118
217	310	1114
218	311	1110
219	312	1106
220	312	1102
221	313	1099
222	314	1095
223	315	1091
224	315	1087
225	316	1084
226	317	1080
227	318	1076
228	318	1073
229	320	1071
230	320	1068
231	321	1064
232	322	1061
233	323	1057
234	323	1054
235	324	1050
236	325	1047
237	326	1044
238	326	1040
239	327	1037
240	328	1033
241	328	1030
242	329	1027
243	330	1024
244	331	1021
245	332	1017
246	332	1014
247	333	1011
248	334	1009
249	335	1006
250	336	1003
251	336	1000
252	337	997
253	338	994
254	339	990
255	339	987
256	340	984
257	341	981
258	342	979
259	342	976
260	343	972
261	344	969
262	345	967
263	345	964
264	346	961
265	347	959
266	348	956
267	349	954
268	350	952
269	351	949
270	351	946
271	352	943
272	353	940
273	354	938
274	354	935
275	355	933
276	356	930
277	357	927
278	357	924
279	358	922
280	359	919
281	360	917
282	360	914
283	361	911
284	362	909
285	363	907
286	364	905
287	365	904
288	366	902
289	367	899
290	368	897
291	368	894
292	369	892
293	370	889
294	371	887
295	371	884
296	372	882
297	373	879
298	374	877
299	374	874
300	375	872
301	376	869
302	377	867
303	377	865
304	379	863
305	380	861
306	380	859
307	381	857
308	382	854
309	382	852
310	383	849
311	384	847
312	385	845
313	385	843
314	386	840
315	387	838
316	388	836
317	388	833
318	389	831
319	390	829
320	391	827
321	391	825
322	392	823
323	393	821
324	394	819
325	395	817
326	396	815
327	397	813
328	397	811
329	398	809
330	399	807
331	400	804
332	400	802
333	401	801
334	402	799
335	403	797
336	404	795
337	405	793
338	405	791
339	406	789
340	407	787
341	408	786
342	409	784
343	410	782
344	411	780
345	411	778
346	412	776
347	413	774
348	414	772
349	414	770
350	415	768
351	416	766
352	417	764
353	417	762
354	418	760
355	419	758
356	420	756
357	421	755
358	421	753
359	422	751
360	423	750
361	424	748
362	425	746
363	426	744
364	426	742
365	427	740
366	428	738
367	429	736
368	429	735
369	430	733
370	431	731
371	432	729
372	433	728
373	433	726
374	434	724
375	435	722
376	436	720
377	436	718
378	437	716
379	438	715
380	439	713
381	440	712
382	441	710
383	441	708
384	442	707
385	443	705
386	444	703
387	444	701
388	445	700
389	446	698
390	447	696
391	448	694
392	448	693
393	449	691
394	450	690
395	451	688
396	452	686
397	453	685
398	454	684
399	455	682
400	455	681
401	456	679
402	457	677
403	458	676
404	459	675
405	460	673
406	461	671
407	461	670
408	462	668
409	463	666
410	464	665
411	464	663
412	465	661
413	466	660
414	467	658
415	468	657
416	469	656
417	470	654
418	470	652
419	471	651
420	472	649
421	472	647
422	473	646
423	474	645
424	475	643
425	476	642
426	477	640
427	478	639
428	479	638
429	480	636
430	481	635
431	481	633
432	482	632
433	484	631
434	484	629
435	485	628
436	486	626
437	487	625
438	488	624
439	489	622
440	489	621
441	490	619
442	491	618
443	492	616
444	493	614
445	494	613
446	494	612
447	495	610
448	496	609
449	497	607
450	498	606
451	499	605
452	500	604
453	501	602
454	501	601
455	502	599
456	503	598
457	504	596
458	505	595
459	506	594
460	507	592
461	507	591
462	508	590
463	509	588
464	510	587
465	511	585
466	512	584
467	513	583
468	514	582
469	515	580
470	516	579
471	516	578
472	517	576
473	518	575
474	519	574
475	520	572
476	521	571
477	521	569
478	522	568
479	523	567
480	524	565
481	525	564
482	526	563
483	527	562
484	528	560
485	529	559
486	530	558
487	531	557
488	532	556
489	532	554
490	533	553
491	534	551
492	535	550
493	536	549
494	537	548
495	538	547
496	539	545
497	540	544
498	540	543
499	541	541
500	542	540
501	543	539
502	544	538
503	545	536
504	546	535
505	547	534
506	548	532
507	549	531
508	549	530
509	550	529
510	551	527
511	552	526
512	552	524
513	553	523
514	555	522
515	556	521
516	558	521
517	558	520
518	559	518
519	560	517
520	561	516
521	562	514
522	563	513
523	563	512
524	564	510
525	565	509
526	566	508
527	567	507
528	568	505
529	568	504
530	569	503
531	570	501
532	571	500
533	572	499
534	573	498
535	574	497
536	575	496
537	576	494
538	577	493
539	577	492
540	578	490
541	579	489
542	580	488
543	581	487
544	582	485
545	582	484
546	583	483
547	584	482
548	585	481
549	586	480
550	587	478
551	588	477
552	589	476
553	590	475
554	591	474
555	592	473
556	593	472
557	594	470
558	595	469
559	595	468
560	596	466
561	597	465
562	598	464
563	599	463
564	600	461
565	601	460
566	602	459
567	603	459
568	604	457
569	605	456
570	606	455
571	606	454
572	607	452
573	608	451
574	609	450
575	610	449
576	611	448
577	612	446
578	612	445
579	613	444
580	614	442
581	615	441
582	616	440
583	617	439
584	618	438
585	619	437
586	620	436
587	621	435
588	622	434
589	622	432
590	623	431
591	624	430
592	625	428
593	625	427
594	626	426
595	627	425
596	628	424
597	629	423
598	630	422
599	631	421
600	632	419
601	633	418
602	634	417
603	635	416
604	636	415
605	636	414
606	637	412
607	638	411
608	639	410
609	640	409
610	641	408
611	642	407
612	642	405
613	643	404
614	644	403
615	645	402
616	646	401
617	647	400
618	648	398
619	649	397
620	649	396
621	650	395
622	651	394
623	652	392
624	652	391
625	653	390
626	654	389
627	654	387
628	655	386
629	656	385
630	657	384
631	657	383
632	658	381
633	659	380
634	660	379
635	661	378
636	662	377
637	663	376
638	663	375
639	664	373
640	665	372
641	666	371
642	666	370
643	667	369
644	668	367
645	669	366
646	670	365
647	671	364
648	671	363
649	672	362
650	673	360
651	674	359
652	674	358
653	676	357
654	677	356
655	678	355
656	678	354
657	679	353
658	680	352
659	681	350
660	682	349
661	683	348
662	683	347
663	684	346
664	685	345
665	686	344
666	687	342
667	687	341
668	688	340
669	689	339
670	691	338
671	691	337
